tab 	magic_measurements
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_standard	measurement_temp	treatment_ac_field	treatment_dc_field	treatment_dc_field_phi	treatment_dc_field_theta	treatment_temp
	This study	Cup	Cup-1-1	Cup-1	Cup-1-1	Cup-1-1:LP-DIR-T		LT-LT-Z:LP-DIR-T	pmagpy-2.155	126.9		g	34.3	4.393e-08	1	u	2.730e+02	0	0.000e+00	0	0	3.230e+02
	This study	Cup	Cup-1-1	Cup-1	Cup-1-1	Cup-1-1:LP-DIR-T		LT-T-Z:LP-DIR-T	pmagpy-2.155	127.3		g	33.4	4.215e-08	2	u	2.730e+02	0	0.000e+00	0	0	3.730e+02
	This study	Cup	Cup-1-1	Cup-1	Cup-1-1	Cup-1-1:LP-DIR-T		LT-T-Z:LP-DIR-T	pmagpy-2.155	300.5		g	-33.9	5.741e-08	3	u	2.730e+02	0	0.000e+00	0	0	4.230e+02
	This study	Cup	Cup-1-1	Cup-1	Cup-1-1	Cup-1-1:LP-DIR-T		LT-T-Z:LP-DIR-T	pmagpy-2.155	299.3		g	-34.0	4.946e-08	4	u	2.730e+02	0	0.000e+00	0	0	4.730e+02
	This study	Cup	Cup-1-1	Cup-1	Cup-1-1	Cup-1-1:LP-DIR-T		LT-T-Z:LP-DIR-T	pmagpy-2.155	300.6		g	-34.0	4.119e-08	5	u	2.730e+02	0	0.000e+00	0	0	5.230e+02
	This study	Cup	Cup-1-2	Cup-1	Cup-1-2	Cup-1-2:LP-DIR-T		LT-LT-Z:LP-DIR-T	pmagpy-2.155	135.3		g	33.8	1.154e-07	1	u	2.730e+02	0	0.000e+00	0	0	3.230e+02
	This study	Cup	Cup-1-2	Cup-1	Cup-1-2	Cup-1-2:LP-DIR-T		LT-T-Z:LP-DIR-T	pmagpy-2.155	135.3		g	34.3	1.103e-07	2	u	2.730e+02	0	0.000e+00	0	0	3.730e+02
	This study	Cup	Cup-1-2	Cup-1	Cup-1-2	Cup-1-2:LP-DIR-T		LT-T-Z:LP-DIR-T	pmagpy-2.155	308.9		g	-35.3	9.423e-08	3	u	2.730e+02	0	0.000e+00	0	0	4.230e+02
	This study	Cup	Cup-1-2	Cup-1	Cup-1-2	Cup-1-2:LP-DIR-T		LT-T-Z:LP-DIR-T	pmagpy-2.155	308.8		g	-35.7	9.445e-08	4	u	2.730e+02	0	0.000e+00	0	0	4.730e+02
	This study	Cup	Cup-1-2	Cup-1	Cup-1-2	Cup-1-2:LP-DIR-T		LT-T-Z:LP-DIR-T	pmagpy-2.155	309.1		g	-35.7	7.081e-08	5	u	2.730e+02	0	0.000e+00	0	0	5.230e+02
	This study	Cup	Cup-1-3	Cup-1	Cup-1-3	Cup-1-3:LP-DIR-T		LT-LT-Z:LP-DIR-T	pmagpy-2.155	127.0		g	34.4	7.401e-08	1	u	2.730e+02	0	0.000e+00	0	0	3.230e+02
	This study	Cup	Cup-1-3	Cup-1	Cup-1-3	Cup-1-3:LP-DIR-T		LT-T-Z:LP-DIR-T	pmagpy-2.155	127.1		g	34.4	6.517e-08	2	u	2.730e+02	0	0.000e+00	0	0	3.730e+02
	This study	Cup	Cup-1-3	Cup-1	Cup-1-3	Cup-1-3:LP-DIR-T		LT-T-Z:LP-DIR-T	pmagpy-2.155	313.7		g	-35.3	8.831e-08	3	u	2.730e+02	0	0.000e+00	0	0	4.230e+02
	This study	Cup	Cup-1-3	Cup-1	Cup-1-3	Cup-1-3:LP-DIR-T		LT-T-Z:LP-DIR-T	pmagpy-2.155	313.8		g	-36.0	7.641e-08	4	u	2.730e+02	0	0.000e+00	0	0	4.730e+02
	This study	Cup	Cup-1-3	Cup-1	Cup-1-3	Cup-1-3:LP-DIR-T		LT-T-Z:LP-DIR-T	pmagpy-2.155	314.6		g	-35.8	6.972e-08	5	u	2.730e+02	0	0.000e+00	0	0	5.230e+02
	This study	Cup	Cup-2-1	Cup-2	Cup-2-1	Cup-2-1:LP-DIR-T		LT-LT-Z:LP-DIR-T	pmagpy-2.155	140.0		g	34.6	5.408e-08	1	u	2.730e+02	0	0.000e+00	0	0	3.230e+02
	This study	Cup	Cup-2-1	Cup-2	Cup-2-1	Cup-2-1:LP-DIR-T		LT-T-Z:LP-DIR-T	pmagpy-2.155	140.3		g	34.3	5.252e-08	2	u	2.730e+02	0	0.000e+00	0	0	3.730e+02
	This study	Cup	Cup-2-1	Cup-2	Cup-2-1	Cup-2-1:LP-DIR-T		LT-T-Z:LP-DIR-T	pmagpy-2.155	311.6		g	-35.5	3.166e-08	3	u	2.730e+02	0	0.000e+00	0	0	4.230e+02
	This study	Cup	Cup-2-1	Cup-2	Cup-2-1	Cup-2-1:LP-DIR-T		LT-T-Z:LP-DIR-T	pmagpy-2.155	311.6		g	-35.1	2.892e-08	4	u	2.730e+02	0	0.000e+00	0	0	4.730e+02
	This study	Cup	Cup-2-1	Cup-2	Cup-2-1	Cup-2-1:LP-DIR-T		LT-T-Z:LP-DIR-T	pmagpy-2.155	311.7		g	-35.8	1.470e-08	5	u	2.730e+02	0	0.000e+00	0	0	5.230e+02
	This study	Cup	Cup-2-2	Cup-2	Cup-2-2	Cup-2-2:LP-DIR-T		LT-LT-Z:LP-DIR-T	pmagpy-2.155	131.2		g	34.4	1.397e-07	1	u	2.730e+02	0	0.000e+00	0	0	3.230e+02
	This study	Cup	Cup-2-2	Cup-2	Cup-2-2	Cup-2-2:LP-DIR-T		LT-T-Z:LP-DIR-T	pmagpy-2.155	309.4		g	-35.5	7.400e-08	2	u	2.730e+02	0	0.000e+00	0	0	4.230e+02
	This study	Cup	Cup-2-2	Cup-2	Cup-2-2	Cup-2-2:LP-DIR-T		LT-T-Z:LP-DIR-T	pmagpy-2.155	309.5		g	-34.7	4.436e-08	3	u	2.730e+02	0	0.000e+00	0	0	4.730e+02
	This study	Cup	Cup-2-2	Cup-2	Cup-2-2	Cup-2-2:LP-DIR-T		LT-T-Z:LP-DIR-T	pmagpy-2.155	306.5		g	-35.3	3.104e-08	4	u	2.730e+02	0	0.000e+00	0	0	5.230e+02
	This study	Cup	Cup-2-3	Cup-2	Cup-2-3	Cup-2-3:LP-DIR-T		LT-LT-Z:LP-DIR-T	pmagpy-2.155	130.3		g	35.4	6.642e-08	1	u	2.730e+02	0	0.000e+00	0	0	3.230e+02
