tab 	pmag_specimens
direction_type	er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_names	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_step_max	measurement_step_min	measurement_step_unit	specimen_Z	specimen_b	specimen_b_beta	specimen_b_sigma	specimen_correction	specimen_dang	specimen_dec	specimen_description	specimen_direction_type	specimen_drat	specimen_drats	specimen_f	specimen_fvds	specimen_gamma	specimen_grade	specimen_inc	specimen_int	specimen_int_mad	specimen_int_n	specimen_int_ptrm_n	specimen_lab_field_dc	specimen_md	specimen_q	specimen_rsc	specimen_tilt_correction
l	unknown	This study	McMurdo	mc200b	mc200	mc200b1	mc200b1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-FTEST:IE-TT	pmagpy-2.155	8.730e+02	3.730e+02	K	1.3	-0.508	0.112	0.057	u	7.0	358.4		l	6.2	10.8	0.987	0.619	1.7		-50.5	1.5245e-05	6.2	11	5	3.000e-05	4	7.3	0.8908	-1
l	unknown	This study	McMurdo	mc200c	mc200	mc200c1	mc200c1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	pmagpy-2.155	8.730e+02	3.730e+02	K	0.0	-0.492	0.111	0.055	u	8.7	354.1		l	12.3	3.4	0.960	0.593	0.9		-49.5	1.4750e-05	7.4	11	5	3.000e-05	4	7.1	0.8915	-1
l	unknown	This study	McMurdo	mc200d	mc200	mc200d1	mc200d1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	pmagpy-2.155	8.730e+02	3.730e+02	K	1.0	-0.388	0.105	0.041	u	13.1	356.3		l	18.6	2.4	0.988	0.539	0.9		-42.9	1.1645e-05	13.0	11	5	3.000e-05	4	7.4	0.9025	-1
l	unknown	This study	McMurdo	mc200h	mc200	mc200h1	mc200h1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	pmagpy-2.155	8.730e+02	3.730e+02	K	0.0	-0.330	0.126	0.042	u	17.1	8.5		l	12.0	2.6	1.008	0.435	0.4		-34.1	9.8983e-06	16.4	11	5	3.000e-05	6	6.0	0.8619	-1
l	unknown	This study	McMurdo	mc200i	mc200	mc200i1	mc200i1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	pmagpy-2.155	8.730e+02	3.730e+02	K	0.0	-0.431	0.131	0.056	u	12.4	358.9		l	12.7	4.8	1.009	0.489	4.7		-47.9	1.2924e-05	10.5	11	5	3.000e-05	4	6.1	0.8518	-1
l	unknown	This study	McMurdo	mc201b	mc201	mc201b1	mc201b1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	pmagpy-2.155	8.730e+02	7.230e+02	K	1.2	-0.156	0.189	0.029	u	0.6	355.4		l	19.7	35.8	0.656	0.175	0.2		-80.9	4.6811e-06	4.8	6	5	3.000e-05	6	2.3	0.8629	-1
l	unknown	This study	McMurdo	mc202b	mc202	mc202b1	mc202b1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	pmagpy-2.155	8.730e+02	7.730e+02	K	0.0	-0.069	0.202	0.014	u	2.0	15.8		l	23.0	20.3	0.580	0.085	1.0		-79.6	2.0582e-06	8.7	5	5	3.000e-05	7	1.2	0.8808	-1
l	unknown	This study	McMurdo	mc204b	mc204	mc204b1	mc204b1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	pmagpy-2.155	7.730e+02	3.730e+02	K	0.0	-0.717	0.186	0.134	u	15.6	15.9		l	17.0	3.7	0.780	0.562	2.6		7.3	2.1512e-05	10.4	7	5	3.000e-05	3	3.2	0.8337	-1
l	unknown	This study	McMurdo	mc205a	mc205	mc205a2	mc205a2:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	pmagpy-2.155	7.730e+02	3.730e+02	K	0.0	-1.441	0.055	0.080	u	3.7	295.7		l	26.0	20.9	0.726	0.679	2.8		-40.4	4.3245e-05	5.6	7	5	3.000e-05	3	9.5	0.9848	-1
l	unknown	This study	McMurdo	mc205b	mc205	mc205b1	mc205b1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	pmagpy-2.155	8.230e+02	3.730e+02	K	0.0	-1.009	0.064	0.064	u	4.8	297.2		l	14.1	9.0	0.962	0.846	1.2		-36.4	3.0262e-05	4.5	9	5	3.000e-05	4	12.2	0.9718	-1
