tab delimited	er_locations
er_location_name	er_location_alternatives	location_type	location_begin_lat	location_begin_lon	location_end_lat	location_end_lon	continent_ocean	region	plate_block	tectonic_setting	er_citation_names
McMurdo	Mt Erebus Volcanic Province : McMurdo Sound	Outcrop	-77	160	-79	170	Antarctica	Antarctic Plate	Antarctic Plate	Continental Volcanics	This study
>>>>>>>>>>
tab delimited	er_sites
er_site_name	er_location_name	site_definition	site_class	site_lithology	site_type	site_lat	site_lon	er_citation_names
mc200	McMurdo	s	Igneous : Extrusive	Phonolite	Lava Flow	-77.54995	166.16148	This study
mc201	McMurdo	s	Igneous : Extrusive	Phonolite	Lava Flow	-77.56284	166.21958	This study
mc202	McMurdo	s	Igneous : Extrusive	Phonolite	Lava Flow	-77.65674	166.36424	This study
mc203	McMurdo	s	Igneous : Intrusive	Basalt	Volcanic Dike	-77.5807	166.25055	This study
mc204	McMurdo	s	Igneous : Extrusive	Phonolite	Lava Flow	-77.6402	166.40836	This study
mc205	McMurdo	s	Igneous : Intrusive	Basalt	Volcanic Dike	-77.65666	166.72515	This study
mc206	McMurdo	s	Igneous : Intrusive	Basalt	Volcanic Dome	-77.66665	166.78033	This study
mc207	McMurdo	s	Igneous : Extrusive	Basalt	Lava Flow	-77.67871	166.5173	This study
mc208	McMurdo	s	Igneous : Extrusive	Basalt	Lava Flow	-77.66786	166.53186	This study
mc209	McMurdo	s	Igneous : Extrusive	Basalt	Lava Flow	-77.68544	166.36812	This study
mc210	McMurdo	s	Igneous : Intrusive	Phonolite	Volcanic Dike	-77.69125	166.3743	This study
mc211	McMurdo	s	Igneous : Extrusive	Phonolite	Lava Flow	-77.66147	166.3397	This study
mc212	McMurdo	s	Igneous : Extrusive	Basalt	Lava Flow	-77.56505	166.35938	This study
mc213	McMurdo	s	Igneous : Extrusive	Basalt	Lava Flow	-77.22331	166.42877	This study
mc214	McMurdo	s	Igneous : Extrusive	Basalt	Lava Flow	-77.22355	166.4294	This study
mc215	McMurdo	s	Igneous : Extrusive	Basalt	Lava Flow	-77.4773	166.89491	This study
mc216	McMurdo	s	Igneous : Extrusive	Basalt	Lava Flow	-77.42391	166.81075	This study
mc217	McMurdo	s	Igneous : Extrusive	Basalt	Lava Flow	-77.50885	167.44064	This study
mc218	McMurdo	s	Igneous : Extrusive	Basalt	Lava Flow	-77.56218	166.97756	This study
mc219	McMurdo	s	Igneous : Extrusive	Basalt	Lava Flow	-77.84783	166.67453	This study
mc220	McMurdo	s	Igneous : Extrusive	Basalt	Lava Flow	-77.45702	166.91009	This study
mc221	McMurdo	s	Igneous : Extrusive	Basalt	Lava Flow	-77.5161	166.79804	This study
mc222	McMurdo	s	Igneous : Extrusive	Basalt	Lava Flow	-77.53893	166.84845	This study
mc223	McMurdo	s	Igneous : Extrusive	Phonolite	Lava Flow	-77.65831	166.7863	This study
mc224	McMurdo	s	Igneous : Extrusive	Phonolite	Lava Flow	-77.53046	166.8839	This study
mc225	McMurdo	s	Igneous : Extrusive	Phonolite	Lava Flow	-77.58053	166.80156	This study
mc226	McMurdo	s	Igneous : Extrusive	Phonolite	Lava Flow	-77.61355	166.76571	This study
mc227	McMurdo	s	Igneous : Extrusive	Basalt	Lava Flow	-77.27064	166.73278	This study
mc228	McMurdo	s	Igneous : Extrusive	Trachyte	Lava Flow	-77.2669	166.37738	This study
mc229	McMurdo	s	Igneous : Extrusive	Basalt	Lava Flow	-77.48281	167.15435	This study
>>>>>>>>>>
tab delimited	er_samples
er_sample_name	er_location_name	er_site_name	sample_class	sample_lithology	sample_type	sample_lat	sample_lon	sample_date	sample_orientation_flag	sample_azimuth	sample_dip	sample_bed_dip_direction	sample_bed_dip	magic_method_codes	er_citation_names
mc200a	McMurdo	mc200	Igneous : Extrusive	Phonolite	Lava Flow	-77.54995	166.16148	2006:11:24:00:00:00.00	g	8.2	-34	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc200b	McMurdo	mc200	Igneous : Extrusive	Phonolite	Lava Flow	-77.54995	166.16148	2006:11:24:00:00:00.00	g	12.3	-35	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc200c	McMurdo	mc200	Igneous : Extrusive	Phonolite	Lava Flow	-77.54995	166.16148	2006:11:24:00:00:00.00	g	12.8	-35	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc200d	McMurdo	mc200	Igneous : Extrusive	Phonolite	Lava Flow	-77.54995	166.16148	2006:11:24:00:00:00.00	g	291.3	-40	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc200h	McMurdo	mc200	Igneous : Extrusive	Phonolite	Lava Flow	-77.54995	166.16148	2006:11:24:00:00:00.00	g	225.2	-54.5	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc200i	McMurdo	mc200	Igneous : Extrusive	Phonolite	Lava Flow	-77.54995	166.16148	2006:11:24:00:00:00.00	g	131.9	-36	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc201a	McMurdo	mc201	Igneous : Extrusive	Phonolite	Lava Flow	-77.56284	166.21958	2006:11:27:00:00:00.00	g	41.5	-48	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc201b	McMurdo	mc201	Igneous : Extrusive	Phonolite	Lava Flow	-77.56284	166.21958	2006:11:27:00:00:00.00	g	40.5	-52.5	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc201c	McMurdo	mc201	Igneous : Extrusive	Phonolite	Lava Flow	-77.56284	166.21958	2006:11:27:00:00:00.00	g	48.7	-47	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc201d	McMurdo	mc201	Igneous : Extrusive	Phonolite	Lava Flow	-77.56284	166.21958	2006:11:27:00:00:00.00	g	40	-39	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc201e	McMurdo	mc201	Igneous : Extrusive	Phonolite	Lava Flow	-77.56284	166.21958	2006:11:27:00:00:00.00	g	34.7	-42	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc201j	McMurdo	mc201	Igneous : Extrusive	Phonolite	Lava Flow	-77.56284	166.21958	2006:11:27:00:00:00.00	g	66.6	-60	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc202a	McMurdo	mc202	Igneous : Extrusive	Phonolite	Lava Flow	-77.65674	166.36424	2006:11:27:00:00:00.00	g	173	-70	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc202b	McMurdo	mc202	Igneous : Extrusive	Phonolite	Lava Flow	-77.65674	166.36424	2006:11:27:00:00:00.00	g	173.3	-72	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc202c	McMurdo	mc202	Igneous : Extrusive	Phonolite	Lava Flow	-77.65674	166.36424	2006:11:27:00:00:00.00	g	173.5	-72	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
mc202d	McMurdo	mc202	Igneous : Extrusive	Phonolite	Lava Flow	-77.65674	166.36424	2006:11:27:00:00:00.00	g	160.8	-68	0	0	FS-FD : FS-LOC-GPS : SO-POM : SO-SUN	This study
