tab 	pmag_specimens
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_names	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_step_max	measurement_step_min	measurement_step_unit	specimen_alpha95	specimen_comp_name	specimen_correction	specimen_dang	specimen_dec	specimen_description	specimen_direction_type	specimen_inc	specimen_mad	specimen_n	specimen_tilt_correction
	This study	McMurdo	mc200a	mc200	mc200a2	mc200a2:LP-DIR-AF	SIO-flo	LP-DIR-AF:DE-BFL	pmagpy-2.154	8.000e-02	1.000e-02	T		A	u	0.3	350.8		l	-53.2	0.7	8	-1
	This study	McMurdo	mc200b	mc200	mc200b1	mc200b1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-DIR-T:DE-BFP	pmagpy-2.154	8.730e+02	3.730e+02	K		A	u	90.0	273.3		p	5.5	12.8	11	-1
	This study	McMurdo	mc200b	mc200	mc200b2	mc200b2:LP-DIR-AF	SIO-flo	LP-DIR-AF:DE-BFL	pmagpy-2.154	1.000e-01	1.000e-02	T		A	u	0.1	356.9		l	-51.9	1.1	9	-1
	This study	McMurdo	mc200c	mc200	mc200c1	mc200c1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-DIR-T:DE-BFP	pmagpy-2.154	8.730e+02	2.730e+02	K		A	u	90.0	268.8		p	4.6	9.9	12	-1
	This study	McMurdo	mc200c	mc200	mc200c2	mc200c2:LP-DIR-AF	SIO-flo	LP-DIR-AF:DE-BFL	pmagpy-2.154	1.000e-01	1.000e-02	T		A	u	0.5	348.9		l	-52.1	0.9	9	-1
	This study	McMurdo	mc200d	mc200	mc200d1	mc200d1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-DIR-T:DE-BFP	pmagpy-2.154	8.480e+02	2.730e+02	K		A	u	90.0	265.5		p	1.0	6.7	11	-1
	This study	McMurdo	mc200d	mc200	mc200d2	mc200d2:LP-DIR-AF	SIO-flo	LP-DIR-AF:DE-BFL	pmagpy-2.154	1.200e-01	1.000e-02	T		A	u	0.3	357.1		l	-45.8	1.0	10	-1
	This study	McMurdo	mc200h	mc200	mc200h1	mc200h1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-DIR-T:DE-BFP	pmagpy-2.154	8.730e+02	6.230e+02	K		A	u	90.0	95.8		p	-2.5	8.3	8	-1
	This study	McMurdo	mc200i	mc200	mc200i1	mc200i1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-DIR-T:DE-BFP	pmagpy-2.154	8.480e+02	2.730e+02	K		A	u	90.0	265.4		p	-1.2	6.4	11	-1
	This study	McMurdo	mc201a	mc201	mc201a1	mc201a1:LP-DIR-AF	SIO-flo	LP-DIR-AF:DE-BFL	pmagpy-2.154	1.000e-01	5.000e-03	T		A	u	0.3	352.4		l	-50.5	0.7	10	-1
	This study	McMurdo	mc201b	mc201	mc201b1	mc201b1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-DIR-T:DE-BFP	pmagpy-2.154	8.730e+02	2.730e+02	K		A	u	89.8	269.6		p	2.2	9.4	12	-1
	This study	McMurdo	mc201b	mc201	mc201b2	mc201b2:LP-DIR-AF	SIO-flo	LP-DIR-AF:DE-BFL	pmagpy-2.154	1.000e-01	5.000e-03	T		A	u	0.8	358.2		l	-49.1	1.1	10	-1
	This study	McMurdo	mc201c	mc201	mc201c1	mc201c1:LP-DIR-AF	SIO-flo	LP-DIR-AF:DE-BFL	pmagpy-2.154	1.000e-01	5.000e-03	T		A	u	0.3	357.1		l	-52.8	0.7	10	-1
	This study	McMurdo	mc201d	mc201	mc201d1	mc201d1:LP-DIR-AF	SIO-flo	LP-DIR-AF:DE-BFL	pmagpy-2.154	1.000e-01	5.000e-03	T		A	u	0.5	343.1		l	-57.5	0.7	10	-1
	This study	McMurdo	mc201e	mc201	mc201e1	mc201e1:LP-DIR-AF	SIO-flo	LP-DIR-AF:DE-BFL	pmagpy-2.154	1.000e-01	5.000e-03	T		A	u	0.5	341.8		l	-51.9	0.7	10	-1
	This study	McMurdo	mc201j	mc201	mc201j1	mc201j1:LP-DIR-AF	SIO-flo	LP-DIR-AF:DE-BFL	pmagpy-2.154	1.800e-01	1.000e-02	T		A	u	0.7	354.4		l	-39.3	0.8	12	-1
	This study	McMurdo	mc202b	mc202	mc202b1	mc202b1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-DIR-T:DE-BFP	pmagpy-2.154	8.730e+02	4.730e+02	K		A	u	90.0	106.0		p	-0.8	6.2	10	-1
	This study	McMurdo	mc202c	mc202	mc202c1	mc202c1:LP-DIR-AF	SIO-flo	LP-DIR-AF:DE-BFL	pmagpy-2.154	1.000e-01	1.500e-02	T		A	u	0.4	19.0		l	-59.9	1.2	8	-1
	This study	McMurdo	mc202d	mc202	mc202d1	mc202d1:LP-DIR-AF	SIO-flo	LP-DIR-AF:DE-BFL	pmagpy-2.154	1.500e-01	1.000e-02	T		A	u	0.5	359.8		l	-65.3	0.9	11	-1
	This study	McMurdo	mc202f	mc202	mc202f1	mc202f1:LP-DIR-AF	SIO-flo	LP-DIR-AF:DE-BFL	pmagpy-2.154	1.800e-01	1.500e-02	T		A	u	0.6	13.6		l	-66.1	0.7	11	-1
	This study	McMurdo	mc202h	mc202	mc202h1	mc202h1:LP-DIR-AF	SIO-flo	LP-DIR-AF:DE-BFL	pmagpy-2.154	1.500e-01	1.500e-02	T		A	u	0.3	78.0		l	-78.1	1.1	10	-1
	This study	McMurdo	mc203a	mc203	mc203a1	mc203a1:LP-DIR-AF	SIO-flo	LP-DIR-AF:DE-BFL	pmagpy-2.154	1.200e-01	5.000e-03	T		A	u	1.0	174.8		l	7.8	1.3	11	-1
	This study	McMurdo	mc203b	mc203	mc203b1	mc203b1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-DIR-T:DE-BFP	pmagpy-2.154	8.730e+02	6.730e+02	K		A	u	90.0	81.4		p	-2.2	9.3	7	-1
	This study	McMurdo	mc203c	mc203	mc203c1	mc203c1:LP-DIR-AF	SIO-flo	LP-DIR-AF:DE-BFL	pmagpy-2.154	1.200e-01	5.000e-03	T		A	u	0.7	171.1		l	-4.0	0.7	11	-1
	This study	McMurdo	mc203d	mc203	mc203d1	mc203d1:LP-DIR-AF	SIO-flo	LP-DIR-AF:DE-BFL	pmagpy-2.154	1.500e-01	5.000e-03	T		A	u	0.7	174.3		l	-0.8	0.7	12	-1
	This study	McMurdo	mc203g	mc203	mc203g1	mc203g1:LP-DIR-AF	SIO-flo	LP-DIR-AF:DE-BFL	pmagpy-2.154	1.800e-01	5.000e-03	T		A	u	0.9	168.4		l	3.4	1.2	13	-1
	This study	McMurdo	mc203h	mc203	mc203h1	mc203h1:LP-DIR-AF	SIO-flo	LP-DIR-AF:DE-BFL	pmagpy-2.154	1.800e-01	5.000e-03	T		A	u	0.8	168.5		l	13.2	1.2	13	-1
	This study	McMurdo	mc204a	mc204	mc204a1	mc204a1:LP-DIR-AF	SIO-flo	LP-DIR-AF:DE-BFL	pmagpy-2.154	1.000e-01	1.000e-02	T		A	u	0.6	14.4		l	-10.7	1.2	9	-1
	This study	McMurdo	mc204b	mc204	mc204b1	mc204b1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-DIR-T:DE-BFP	pmagpy-2.154	8.730e+02	4.730e+02	K		A	u	90.2	110.6		p	1.4	6.7	10	-1
	This study	McMurdo	mc204c	mc204	mc204c1	mc204c1:LP-DIR-AF	SIO-flo	LP-DIR-AF:DE-BFL	pmagpy-2.154	1.200e-01	1.500e-02	T		A	u	0.6	14.0		l	-1.7	1.2	9	-1
	This study	McMurdo	mc204h	mc204	mc204h1	mc204h1:LP-DIR-AF	SIO-flo	LP-DIR-AF:DE-BFL	pmagpy-2.154	1.500e-01	2.000e-02	T		A	u	0.3	2.3		l	13.4	1.0	9	-1
	This study	McMurdo	mc204k	mc204	mc204k1	mc204k1:LP-DIR-AF	SIO-flo	LP-DIR-AF:DE-BFL	pmagpy-2.154	1.500e-01	1.000e-02	T		A	u	0.3	4.7		l	7.4	1.1	11	-1
	This study	McMurdo	mc204l	mc204	mc204l1	mc204l1:LP-DIR-AF	SIO-flo	LP-DIR-AF:DE-BFL	pmagpy-2.154	1.500e-01	5.000e-03	T		A	u	0.6	7.7		l	-2.9	0.7	12	-1
	This study	McMurdo	mc205a	mc205	mc205a1	mc205a1:LP-DIR-AF	SIO-flo	LP-DIR-AF:DE-BFL	pmagpy-2.154	1.800e-01	2.000e-02	T		A	u	0.6	295.0		l	-41.2	1.1	10	-1
	This study	McMurdo	mc205a	mc205	mc205a2	mc205a2:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-DIR-T:DE-BFL	pmagpy-2.154	8.730e+02	2.730e+02	K		A	u	2.8	294.8		l	-41.5	3.8	12	-1
	This study	McMurdo	mc205b	mc205	mc205b1	mc205b1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI	SIO-flo	LP-DIR-T:DE-BFP	pmagpy-2.154	8.730e+02	3.730e+02	K		A	u	90.0	26.7		p	-0.1	4.1	11	-1
	This study	McMurdo	mc205c	mc205	mc205c1	mc205c1:LP-DIR-AF	SIO-flo	LP-DIR-AF:DE-BFL	pmagpy-2.154	1.800e-01	2.000e-02	T		A	u	1.9	289.7		l	-37.8	1.6	10	-1
	This study	McMurdo	mc205d	mc205	mc205d1	mc205d1:LP-DIR-AF	SIO-flo	LP-DIR-AF:DE-BFL	pmagpy-2.154	1.800e-01	1.000e-02	T		A	u	0.2	302.0		l	-35.0	1.1	12	-1
