tab 	er_samples
er_citation_names	er_location_name	er_sample_name	er_site_name	magic_method_codes	sample_class	sample_core_depth	sample_lat	sample_lithology	sample_lon	sample_type
This study	DSDP Site 522	15-1-013	15-1-013	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	55.23	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-1-022	15-1-022	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	55.31	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-1-024	15-1-024	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	55.34	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-1-028	15-1-028	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	55.38	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-1-031	15-1-031	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	55.41	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-1-035	15-1-035	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	55.44	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-1-039	15-1-039	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	55.48	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-1-041	15-1-041	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	55.51	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-1-045	15-1-045	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	55.54	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-1-047	15-1-047	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	55.56	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-1-051	15-1-051	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	55.6	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-1-054	15-1-054	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	55.63	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-1-057	15-1-057	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	55.66	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-1-060	15-1-060	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	55.7	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-1-063	15-1-063	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	55.73	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-1-066	15-1-066	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	55.76	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-1-069	15-1-069	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	55.78	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-1-072	15-1-072	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	55.81	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-1-075	15-1-075	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	55.85	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-1-079	15-1-079	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	55.88	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-1-082	15-1-082	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	55.91	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-1-085	15-1-085	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	55.94	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-1-088	15-1-088	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	55.97	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-1-091	15-1-091	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	56.01	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-1-094	15-1-094	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	56.04	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	15-1-097	15-1-097	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	56.07	-27	Not Specified	355	Sediment Layer
