tab 	er_specimens
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_alternatives	er_specimen_name	magic_method_codes	specimen_class	specimen_core_depth	specimen_lithology	specimen_type	specimen_volume	specimen_weight
This study	DSDP Site 522	15-1-013	15-1-013	3109	15-1-013	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	55.23	Not Specified	Sediment Layer	0.000001	0.001048
This study	DSDP Site 522	15-1-022	15-1-022	3112	15-1-022	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	55.31	Not Specified	Sediment Layer	0.000001	0.001092
This study	DSDP Site 522	15-1-024	15-1-024	3113	15-1-024	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	55.34	Not Specified	Sediment Layer	0.000001	0.001084
This study	DSDP Site 522	15-1-028	15-1-028	3114	15-1-028	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	55.38	Not Specified	Sediment Layer	0.000001	0.001176
This study	DSDP Site 522	15-1-031	15-1-031	3115	15-1-031	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	55.41	Not Specified	Sediment Layer	0.000001	0.001314
This study	DSDP Site 522	15-1-035	15-1-035	3116	15-1-035	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	55.44	Not Specified	Sediment Layer	0.000001	0.001304
This study	DSDP Site 522	15-1-039	15-1-039	3117	15-1-039	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	55.48	Not Specified	Sediment Layer	0.000001	0.001671
This study	DSDP Site 522	15-1-041	15-1-041	3118	15-1-041	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	55.51	Not Specified	Sediment Layer	0.000001	0.000941
This study	DSDP Site 522	15-1-045	15-1-045	3119	15-1-045	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	55.54	Not Specified	Sediment Layer	0.000001	0.001541
This study	DSDP Site 522	15-1-047	15-1-047	3120	15-1-047	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	55.56	Not Specified	Sediment Layer	0.000001	0.001329
This study	DSDP Site 522	15-1-051	15-1-051	3121	15-1-051	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	55.6	Not Specified	Sediment Layer	0.000001	0.001208
This study	DSDP Site 522	15-1-054	15-1-054	3122	15-1-054	FS-C-PISTON-H:FS-C-DRILL-DSDP	Sedimentary	55.63	Not Specified	Sediment Layer	0.000001	0.001776
