tab	er_samples
er_citation_names	er_location_name	er_site_name	er_sample_name	sample_class	sample_lithology	sample_dip	sample_azimuth	sample_declination_correction	sample_height
This study	Agrokipia;	ak2l0201	ak2l0201	Archeologic	Not Specified	0	0	0	Not Specified
This study	Agrokipia;	ak2l0202	ak2l0202	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk100401	mk100401	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk100402	mk100402	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk100501	mk100501	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk100502	mk100502	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk100601	mk100601	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk100701	mk100701	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk100702	mk100702	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk100703	mk100703	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk100801	mk100801	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk100802	mk100802	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk101001	mk101001	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk101301	mk101301	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk101401	mk101401	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk101402	mk101402	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk101501	mk101501	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk101601	mk101601	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk101602	mk101602	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk101701	mk101701	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk101801	mk101801	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk101901	mk101901	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk102101	mk102101	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk102201	mk102201	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk102301	mk102301	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk102401	mk102401	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk102501	mk102501	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk102502	mk102502	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk102503	mk102503	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk102601	mk102601	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk102701	mk102701	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk102801	mk102801	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk102901	mk102901	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk103001	mk103001	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk103002	mk103002	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk103101	mk103101	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk103301	mk103301	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk103302	mk103302	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk103501	mk103501	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk103502	mk103502	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk104101	mk104101	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk104301	mk104301	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk104701	mk104701	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk104801	mk104801	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk105101	mk105101	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk105201	mk105201	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk105202	mk105202	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk105301	mk105301	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk105601	mk105601	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk105701	mk105701	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk105702	mk105702	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk105703	mk105703	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk105901	mk105901	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk106101	mk106101	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk106102	mk106102	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk106103	mk106103	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk106301	mk106301	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk106402	mk106402	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk106701	mk106701	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk106801	mk106801	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk106901	mk106901	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk107001	mk107001	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk107101	mk107101	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk107102	mk107102	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk107501	mk107501	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk107502	mk107502	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk107601	mk107601	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk107701	mk107701	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk107801	mk107801	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk107901	mk107901	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk107902	mk107902	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk108001	mk108001	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk108101	mk108101	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk108102	mk108102	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk108401	mk108401	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk108402	mk108402	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk108501	mk108501	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk108502	mk108502	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk108801	mk108801	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk108802	mk108802	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk109301	mk109301	Archeologic	Not Specified	0	0	0	Not Specified
This study	Mitsero Kokkinoyia	mk1l3901	mk1l3901	Archeologic	Not Specified	0	0	0	Not Specified
