tab 	magic_measurements
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	er_synthetic_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_csd	measurement_date	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_positions	measurement_standard	measurement_temp	measurement_time_zone	treatment_ac_field	treatment_dc_field	treatment_dc_field_phi	treatment_dc_field_theta	treatment_temp
Jsteindorf	This study	Cyprus	su100201	su1l001	su100201a		su100201a:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	SIO-flo	LT-NO:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	pmagpy-2.123	0.3	2011:10:04:07:02:00.00	21.9		g	-20.1	2.110e-07	1	4	u	2.730e+02	SAN	0	0	0	0	2.730e+02
Jsteindorf	This study	Cyprus	su100201	su1l001	su100201a		su100201a:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	SIO-flo	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	pmagpy-2.123	1.3	2011:10:04:10:04:00.00	26.7		g	-19.3	2.116e-07	2	4	u	2.730e+02	SAN	0	0	0	0	3.730e+02
Jsteindorf	This study	Cyprus	su100201	su1l001	su100201a		su100201a:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	SIO-flo	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	pmagpy-2.123	0.3	2011:10:04:11:39:00.00	24.4		g	-24.7	2.155e-07	3	4	u	2.730e+02	SAN	0	4.000e-05	0.0	90.0	3.730e+02
Jsteindorf	This study	Cyprus	su100201	su1l001	su100201a		su100201a:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	SIO-flo	LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	pmagpy-2.123	0.2	2011:10:04:13:37:00.00	26.3		g	-64.5	1.883e-07	4	4	u	2.730e+02	SAN	0	4.000e-05	0.0	90.0	4.730e+02
Jsteindorf	This study	Cyprus	su100201	su1l001	su100201a		su100201a:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	SIO-flo	LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	pmagpy-2.123	0.4	2011:10:05:08:22:00.00	26.4		g	-25.1	9.388e-08	5	4	u	2.730e+02	SAN	0	0	0	0	4.730e+02
Jsteindorf	This study	Cyprus	su100201	su1l001	su100201a		su100201a:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	SIO-flo	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	pmagpy-2.123	0.5	2011:10:05:10:00:00.00	24.4		g	-19.5	6.924e-08	6	4	u	2.730e+02	SAN	0	0	0	0	5.230e+02
Jsteindorf	This study	Cyprus	su100201	su1l001	su100201a		su100201a:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	SIO-flo	LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	pmagpy-2.123	0.6	2011:10:05:11:27:00.00	23.7		g	-37.9	8.196e-08	7	4	u	2.730e+02	SAN	0	4.000e-05	0.0	90.0	3.730e+02
Jsteindorf	This study	Cyprus	su100201	su1l001	su100201a		su100201a:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	SIO-flo	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	pmagpy-2.123	0.2	2011:10:05:13:10:00.00	24.9		g	-72.1	1.920e-07	8	4	u	2.730e+02	SAN	0	4.000e-05	0.0	90.0	5.230e+02
Jsteindorf	This study	Cyprus	su100201	su1l001	su100201a		su100201a:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	SIO-flo	LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	pmagpy-2.123	0.5	2011:10:06:08:26:00.00	19.0		g	-75.4	2.233e-07	9	4	u	2.730e+02	SAN	0	4.000e-05	0.0	90.0	5.730e+02
Jsteindorf	This study	Cyprus	su100201	su1l001	su100201a		su100201a:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	SIO-flo	LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	pmagpy-2.123	0.4	2011:10:06:10:07:00.00	23.0		g	-35.1	6.895e-08	10	4	u	2.730e+02	SAN	0	0	0	0	5.730e+02
