tab	rmag_anisotropy
er_specimen_name	er_sample_name	er_site_name	anisotropy_type	anisotropy_n	anisotropy_description	anisotropy_s1	anisotropy_s2	anisotropy_s3	anisotropy_s4	anisotropy_s5	anisotropy_s6	anisotropy_sigma	anisotropy_alt	magic_experiment_names	magic_method_codes	rmag_anisotropy_name
su107501g	su107501	su1l103	ATRM	6.000000	Hext statistics adapted to ATRM	0.358589	0.269255	0.372156	0.031131	-0.010450	0.000508	0.010048	1.03	su107501g:ATRM	LP-AN-TRM:AE-H	su107501g
su107501e	su107501	su1l103	ATRM	6.000000	Hext statistics adapted to ATRM	0.399844	0.303992	0.296164	-0.018663	-0.009998	0.054771	0.016503	2.53	su107501e:ATRM	LP-AN-TRM:AE-H	su107501e
su107501d	su107501	su1l103	ATRM	6.000000	Hext statistics adapted to ATRM	0.367634	0.347041	0.285325	-0.023176	0.031313	0.040529	0.012137	2.06	su107501d:ATRM	LP-AN-TRM:AE-H	su107501d
su107501c	su107501	su1l103	ATRM	6.000000	Hext statistics adapted to ATRM	0.337329	0.317907	0.344764	-0.015566	-0.002748	0.011744	0.005483	1.52	su107501c:ATRM	LP-AN-TRM:AE-H	su107501c
su107501b	su107501	su1l103	ATRM	6.000000	Hext statistics adapted to ATRM	0.335465	0.319184	0.345351	-0.000290	0.009194	-0.001267	0.009752	0.94	su107501b:ATRM	LP-AN-TRM:AE-H	su107501b
su107501a	su107501	su1l103	ATRM	6.000000	Hext statistics adapted to ATRM	0.344097	0.327066	0.328837	0.002278	-0.018437	0.010592	0.009837	2.58	su107501a:ATRM	LP-AN-TRM:AE-H	su107501a
su100301f	su100301	su1l001	ATRM	6.000000	Hext statistics adapted to ATRM	0.394925	0.356514	0.248561	-0.051892	0.131953	0.026986	0.010862	1.15	su100301f:ATRM	LP-AN-TRM:AE-H	su100301f
su100301g	su100301	su1l001	ATRM	6.000000	Hext statistics adapted to ATRM	0.376572	0.192022	0.431406	-0.006694	-0.013513	-0.021033	0.012799	3.32	su100301g:ATRM	LP-AN-TRM:AE-H	su100301g
su100301e	su100301	su1l001	ATRM	6.000000	Hext statistics adapted to ATRM	0.333325	0.329498	0.337176	-0.000317	0.002856	-0.001335	0.012479	4.76	su100301e:ATRM	LP-AN-TRM:AE-H	su100301e
su100301b	su100301	su1l001	ATRM	6.000000	Hext statistics adapted to ATRM	0.388236	0.213745	0.398019	0.026520	0.062528	-0.015972	0.007329	3.29	su100301b:ATRM	LP-AN-TRM:AE-H	su100301b
su100301c	su100301	su1l001	ATRM	6.000000	Hext statistics adapted to ATRM	0.341974	0.310527	0.347499	0.000108	0.026750	0.000051	0.010661	5.20	su100301c:ATRM	LP-AN-TRM:AE-H	su100301c
su100301a	su100301	su1l001	ATRM	6.000000	Hext statistics adapted to ATRM	0.301900	0.324133	0.373967	0.104484	-0.092839	0.067112	0.013228	4.67	su100301a:ATRM	LP-AN-TRM:AE-H	su100301a
su100301h	su100301	su1l001	ATRM	6.000000	Hext statistics adapted to ATRM	0.251590	0.380541	0.367870	0.004870	0.014873	0.056589	0.007664	5.01	su100301h:ATRM	LP-AN-TRM:AE-H	su100301h
su100301h	su100301	su1l001	AARM	9.000000	Hext statistics adapted to AARM	0.306496	0.357601	0.335903	0.001540	0.011966	0.029868	0.019182		su100301h:AARM	LP-AN-ARM:AE-H	su100301h
su101801h	su101801	su1l504	ATRM	6.000000	Hext statistics adapted to ATRM	0.340045	0.333987	0.325967	-0.002595	0.001097	-0.000082	0.016080	1.67	su101801h:ATRM	LP-AN-TRM:AE-H	su101801h
su101801f	su101801	su1l504	ATRM	6.000000	Hext statistics adapted to ATRM	0.343771	0.305913	0.350317	0.045213	0.003421	0.007197	0.062227	2.41	su101801f:ATRM	LP-AN-TRM:AE-H	su101801f
su101801g	su101801	su1l504	ATRM	6.000000	Hext statistics adapted to ATRM	0.328665	0.338351	0.332984	-0.007943	0.003727	-0.000375	0.009236	4.14	su101801g:ATRM	LP-AN-TRM:AE-H	su101801g
