tab	rmag_results
er_specimen_names	er_sample_name	er_site_name	anisotropy_type	magic_method_codes	magic_experiment_names	result_description	anisotropy_t1	anisotropy_t2	anisotropy_t3	anisotropy_ftest	anisotropy_ftest12	anisotropy_ftest23	anisotropy_v1_dec	anisotropy_v1_inc	anisotropy_v2_dec	anisotropy_v2_inc	anisotropy_v3_dec	anisotropy_v3_inc
su107501g	su107501	su1l103	ATRM	LP-AN-TRM:AE-H	su107501g:ATRM	Critical F: 3.1059	0.374241	0.367185	0.258574	33.315663	0.246610	58.424462	208.5	65.3	15.0	24.1	107.3	5.1
su107501e	su107501	su1l103	ATRM	LP-AN-TRM:AE-H	su107501e:ATRM	Critical F: 3.1059	0.427035	0.300488	0.272476	19.919981	29.401270	1.440613	169.4	-23.0	79.6	0.5	350.7	-66.9
su107501d	su107501	su1l103	ATRM	LP-AN-TRM:AE-H	su107501d:ATRM	Critical F: 3.1059	0.387466	0.359155	0.253379	27.125881	2.720381	37.976382	160.8	-15.3	79.0	27.5	225.0	57.8
su107501c	su107501	su1l103	ATRM	LP-AN-TRM:AE-H	su107501c:ATRM	Critical F: 3.1059	0.357090	0.333975	0.308934	15.434630	8.885830	10.428353	334.8	43.7	143.1	45.7	59.1	-5.8
su107501b	su107501	su1l103	ATRM	LP-AN-TRM:AE-H	su107501b:ATRM	Critical F: 3.1059	0.348388	0.335336	0.316276	2.193839	0.895669	1.909874	108.4	71.6	182.0	-5.4	270.3	17.6
su107501a	su107501	su1l103	ATRM	LP-AN-TRM:AE-H	su107501a:ATRM	Critical F: 3.1059	0.352290	0.340452	0.307257	4.505592	0.724095	5.693598	150.6	-37.9	222.5	21.8	289.7	-44.1
su100301f	su100301	su1l001	ATRM	LP-AN-TRM:AE-H	su100301f:ATRM	Critical F: 3.1059	0.459263	0.391603	0.149134	180.299369	19.399471	249.140372	119.9	25.6	17.3	24.4	69.8	-53.3
su100301g	su100301	su1l001	ATRM	LP-AN-TRM:AE-H	su100301g:ATRM	Critical F: 3.1059	0.439006	0.370069	0.190925	80.076491	14.504159	97.947791	7.8	-71.5	176.4	-18.2	267.5	-3.4
su100301e	su100301	su1l001	ATRM	LP-AN-TRM:AE-H	su100301e:ATRM	Critical F: 3.1059	0.338485	0.332966	0.328549	0.127351	0.097796	0.062629	310.4	-66.7	186.2	-13.6	271.6	18.5
su100301b	su100301	su1l001	ATRM	LP-AN-TRM:AE-H	su100301b:ATRM	Critical F: 3.1059	0.419300	0.390726	0.189973	232.601879	7.599855	375.133458	136.9	68.6	12.9	12.4	99.0	-17.2
su100301c	su100301	su1l001	ATRM	LP-AN-TRM:AE-H	su100301c:ATRM	Critical F: 3.1059	0.361530	0.341973	0.296497	7.836547	1.682631	9.098336	89.4	62.3	179.9	0.3	270.1	27.7
su100301a	su100301	su1l001	ATRM	LP-AN-TRM:AE-H	su100301a:ATRM	Critical F: 3.1059	0.446796	0.402087	0.151117	116.140555	5.712101	179.987177	257.2	46.1	27.1	31.7	135.4	26.9
su100301h	su100301	su1l001	ATRM	LP-AN-TRM:AE-H	su100301h:ATRM	Critical F: 3.1059	0.402147	0.369264	0.228589	115.749368	9.204334	168.449866	242.8	-48.8	105.6	-32.7	0.4	-22.2
su100301h	su100301	su1l001	AARM	LP-AN-ARM:AE-H	su100301h:AARM	Critical F: 2.6848	0.367310	0.345150	0.287540	3.686514	0.667284	4.510096	248.3	-35.2	124.8	-38.0	5.0	-32.5
su101801h	su101801	su1l504	ATRM	LP-AN-TRM:AE-H	su101801h:ATRM	Critical F: 3.1059	0.341019	0.333166	0.325815	0.179038	0.119250	0.104516	339.5	-1.8	249.2	-7.9	262.0	81.9
su101801f	su101801	su1l504	ATRM	LP-AN-TRM:AE-H	su101801f:ATRM	Critical F: 3.1059	0.376256	0.347935	0.275808	0.554173	0.103566	0.671744	33.4	16.9	216.6	73.1	123.7	0.9
su101801g	su101801	su1l504	ATRM	LP-AN-TRM:AE-H	su101801g:ATRM	Critical F: 3.1059	0.343903	0.332159	0.323938	0.944192	0.808388	0.396104	117.9	17.6	329.6	69.5	31.2	-10.1
