tab 	er_specimens
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	specimen_class	specimen_lithology	specimen_type
This study	706	0706c021009	0706c	0706c0210093	Igneous	Basalt	submarine basaltic glass
This study	706	0706c021071	0706c	0706c0210711	Igneous	Basalt	submarine basaltic glass
This study	706	0706c021071	0706c	0706c0210713	Igneous	Basalt	submarine basaltic glass
This study	706	0706c021093	0706c	0706c0210932	Igneous	Basalt	submarine basaltic glass
This study	706	0706c021095	0706c	0706c0210951	Igneous	Basalt	submarine basaltic glass
This study	706	0706c022039	0706c	0706c0220391	Igneous	Basalt	submarine basaltic glass
This study	706	0706c022039	0706c	0706c0220392	Igneous	Basalt	submarine basaltic glass
This study	706	0706c022095	0706c	0706c0220952	Igneous	Basalt	submarine basaltic glass
This study	706	0706c052074	0706c	0706c0520741	Igneous	Basalt	submarine basaltic glass
This study	706	0706c052074	0706c	0706c0520742	Igneous	Basalt	submarine basaltic glass
This study	706	0706c052103	0706c	0706c0521031	Igneous	Basalt	submarine basaltic glass
This study	706	0706c052103	0706c	0706c0521032	Igneous	Basalt	submarine basaltic glass
This study	706	0706c052103	0706c	0706c0521033	Igneous	Basalt	submarine basaltic glass
This study	706	0706c053044	0706c	0706c0530441	Igneous	Basalt	submarine basaltic glass
This study	706	0706c053044	0706c	0706c0530442	Igneous	Basalt	submarine basaltic glass
This study	706	0706c077010	0706c	0706c0770101	Igneous	Basalt	submarine basaltic glass
This study	706	0706c077010	0706c	0706c0770102	Igneous	Basalt	submarine basaltic glass
This study	706	0706c077010	0706c	0706c0770103	Igneous	Basalt	submarine basaltic glass
This study	706	0706c077010	0706c	0706c0770104	Igneous	Basalt	submarine basaltic glass
This study	758	0758a676063	0758a	0758a6760631	Igneous	Basalt	submarine basaltic glass
This study	758	0758a676063	0758a	0758a6760632	Igneous	Basalt	submarine basaltic glass
This study	758	0758a702003	0758a	0758a7020031	Igneous	Basalt	submarine basaltic glass
This study	758	0758a702003	0758a	0758a7020032	Igneous	Basalt	submarine basaltic glass
This study	758	0758a702017	0758a	0758a7020171	Igneous	Basalt	submarine basaltic glass
This study	758	0758a702017	0758a	0758a7020172	Igneous	Basalt	submarine basaltic glass
This study	758	0758a702052	0758a	0758a7020522	Igneous	Basalt	submarine basaltic glass
This study	758	0758a702052	0758a	0758a7020523	Igneous	Basalt	submarine basaltic glass
This study	758	0758a712037	0758a	0758a7120371	Igneous	Basalt	submarine basaltic glass
This study	758	0758a712037	0758a	0758a7120372	Igneous	Basalt	submarine basaltic glass
This study	758	0758a713045	0758a	0758a7130451	Igneous	Basalt	submarine basaltic glass
This study	758	0758a713045	0758a	0758a7130452	Igneous	Basalt	submarine basaltic glass
This study	758	0758a714054	0758a	0758a7140541	Igneous	Basalt	submarine basaltic glass
This study	758	0758a714054	0758a	0758a7140542	Igneous	Basalt	submarine basaltic glass
This study	758	0758a714054	0758a	0758a7140543	Igneous	Basalt	submarine basaltic glass
This study	758	0758a714093	0758a	0758a7140933	Igneous	Basalt	submarine basaltic glass
This study	758	0758a714093	0758a	0758a7140934	Igneous	Basalt	submarine basaltic glass
This study	758	0758a714093	0758a	0758a7140935	Igneous	Basalt	submarine basaltic glass
This study	758	0758a723117	0758a	0758a7231171	Igneous	Basalt	submarine basaltic glass
This study	758	0758a723117	0758a	0758a7231172	Igneous	Basalt	submarine basaltic glass
This study	765	0765c631004	0765c	0765c6310042	Igneous	Basalt	submarine basaltic glass
This study	765	0765c631004	0765c	0765c6310043	Igneous	Basalt	submarine basaltic glass
This study	765	0765c631004	0765c	0765c6310044	Igneous	Basalt	submarine basaltic glass
This study	765	0765c631051	0765c	0765c6310514	Igneous	Basalt	submarine basaltic glass
This study	765	0765c631051	0765c	0765c6310515	Igneous	Basalt	submarine basaltic glass
This study	765	0765c631055	0765c	0765c6310552	Igneous	Basalt	submarine basaltic glass
This study	765	0765c631055	0765c	0765c6310553	Igneous	Basalt	submarine basaltic glass
This study	765	0765c631055	0765c	0765c6310554	Igneous	Basalt	submarine basaltic glass
This study	765	0765c631088	0765c	0765c6310881	Igneous	Basalt	submarine basaltic glass
This study	765	0765c631088	0765c	0765c6310882	Igneous	Basalt	submarine basaltic glass
This study	765	0765c631100	0765c	0765c6311004	Igneous	Basalt	submarine basaltic glass
This study	765	0765c631100	0765c	0765c6311005	Igneous	Basalt	submarine basaltic glass
This study	765	0765c631113	0765c	0765c6311131	Igneous	Basalt	submarine basaltic glass
This study	765	0765c631113	0765c	0765c6311132	Igneous	Basalt	submarine basaltic glass
This study	765	0765c631119	0765c	0765c6311192	Igneous	Basalt	submarine basaltic glass
